code,lat,lon,elv,x,y,z,S_P_Error,probabilityOfOccurrence,siteNoiseLevel,eid,Dist,Azim,TTP,TTS
MGUS, 33.7840, 53.7620,  0.0000,116.9080,-78.7060,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.9602, 93.6165, 21.3244,nan
RPKV, 35.2210, 51.7880,  0.0000,-64.8300, 80.2220,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  1.5297,333.7636, 29.8988,nan
QYDI, 35.4040, 52.3210,  0.0000,-16.3050,100.3580,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  1.5707,351.2568, 30.1746,nan
FOUH, 34.7730, 52.7770,  0.0000, 25.3420, 30.2750,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.9318,  8.3460, 20.9421,nan
DQYH, 34.5070, 51.8710,  0.0000,-57.7960,  0.9980,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.8999,317.0248, 20.4352,nan
APSL, 34.1430, 53.7620,  0.0000,116.3880,-38.8450,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.9997, 72.6582, 22.1398,nan
LUEX, 33.8740, 51.9690,  0.0000,-49.1250,-69.2830,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.5370,272.7376, 13.7076,nan
VOCA, 34.6800, 53.4950,  0.0000, 91.1470, 20.4080,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  1.1055, 41.1764, 23.5435,nan
DNOA, 34.3240, 53.4050,  0.0000, 83.2820,-19.1320,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.8108, 54.0538, 18.9548,nan
RHPW, 34.1480, 52.8650,  0.0000, 33.6220,-38.9630,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.3641, 35.0981, 10.1975,nan
XBVK, 34.3280, 52.6890,  0.0000, 17.3510,-19.0940,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.4816,  7.5241, 12.6141,nan
CBZA, 33.6090, 51.7830,  0.0000,-66.5590,-98.6040,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.7332,251.0657, 17.4407,nan
RAWC, 33.4240, 53.7640,  0.0000,117.5310,-118.6250,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  1.0515,113.5470, 22.8179,nan
LUEX, 33.8740, 51.9690,  0.0000,-49.1250,-69.2830,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.5370,272.7376,nan, 23.9883
XBVK, 34.3280, 52.6890,  0.0000, 17.3510,-19.0940,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.4816,  7.5241,nan, 22.0747
DNOA, 34.3240, 53.4050,  0.0000, 83.2820,-19.1320,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.8108, 54.0538,nan, 33.1708
RHPW, 34.1480, 52.8650,  0.0000, 33.6220,-38.9630,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.3641, 35.0981,nan, 17.8457
VOCA, 34.6800, 53.4950,  0.0000, 91.1470, 20.4080,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  1.1055, 41.1764,nan, 41.2020
RPKV, 35.2210, 51.7880,  0.0000,-64.8300, 80.2220,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  1.5297,333.7636,nan, 51.6062
QYDI, 35.4040, 52.3210,  0.0000,-16.3050,100.3580,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  1.5707,351.2568,nan, 52.1739
MGUS, 33.7840, 53.7620,  0.0000,116.9080,-78.7060,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.9602, 93.6165,nan, 37.3177
FOUH, 34.7730, 52.7770,  0.0000, 25.3420, 30.2750,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.9318,  8.3460,nan, 36.6487
DQYH, 34.5070, 51.8710,  0.0000,-57.7960,  0.9980,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.8999,317.0248,nan, 35.7617
RAWC, 33.4240, 53.7640,  0.0000,117.5310,-118.6250,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  1.0515,113.5470,nan, 39.9314
APSL, 34.1430, 53.7620,  0.0000,116.3880,-38.8450,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.9997, 72.6582,nan, 38.7446
CBZA, 33.6090, 51.7830,  0.0000,-66.5590,-98.6040,  0.0000,1.0,1.0,"[0.0, 0.0]",0,  0.7332,251.0657,nan, 30.5213
