code,lat,lon,elv,x,y,z,r,S_P_Error,probabilityOfOccurrence,siteNoiseLevel,eid,Dist,Azim,TTP,TTS
ASTR, 38.5600, 48.7910,  0.0000,177.8930, 36.3800,  0.0000,181.5620,1.0,1.0,"[0.0, 0.0]",0,  1.5632, 84.1024, 29.2037,nan
AZR, 37.6780, 45.9840,  0.0020,-67.5740,-63.2120,  0.0020, 92.5310,1.0,1.0,"[0.0, 0.0]",0,  0.9842,221.7323, 18.7931,nan
BRDA, 40.2630, 47.1790,  0.0000, 36.5040,223.5930,  0.0000,226.5300,1.0,1.0,"[0.0, 0.0]",0,  1.8680,  8.7250, 34.3337,nan
BST, 37.7010, 46.8890,  0.0020, 12.2580,-60.9280,  0.0020, 62.1490,1.0,1.0,"[0.0, 0.0]",0,  0.7172,174.9197, 13.6124,nan
FTB, 38.0170, 46.3940,  0.0020,-31.2610,-25.8030,  0.0020, 40.5350,1.0,1.0,"[0.0, 0.0]",0,  0.5157,219.5003, 10.2158,nan
GANJ, 40.6460, 46.3220,  0.0010,-36.2180,266.1380,  0.0010,268.5520,1.0,1.0,"[0.0, 0.0]",0,  2.2602,350.5558, 40.0853,nan
GLBA, 39.2420, 48.3930,  0.0000,141.8500,111.3980,  0.0000,180.3520,1.0,1.0,"[0.0, 0.0]",0,  1.4880, 55.8156, 28.0254,nan
GRMI, 38.8080, 47.8940,  0.0010, 99.3700, 62.5600,  0.0010,117.4230,1.0,1.0,"[0.0, 0.0]",0,  0.9365, 64.9373, 17.8891,nan
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",0,  0.2078,118.0402,  4.4885,nan
HSH, 37.3050, 47.2640,  0.0020, 45.5720,-104.7650,  0.0020,114.2470,1.0,1.0,"[0.0, 0.0]",0,  1.1671,161.8717, 22.0051,nan
LRK, 38.6430, 48.3400,  0.0020,138.4260, 44.8190,  0.0020,145.5010,1.0,1.0,"[0.0, 0.0]",0,  1.2229, 78.8347, 23.0311,nan
MRD, 38.7130, 45.7020,  0.0020,-91.1510, 51.9150,  0.0020,104.8980,1.0,1.0,"[0.0, 0.0]",0,  0.9178,289.2107, 17.1932,nan
NAX, 39.1740, 45.4950,  0.0010,-108.4560,103.3180,  0.0010,149.7910,1.0,1.0,"[0.0, 0.0]",0,  1.2765,306.8052, 23.6637,nan
ORD, 38.9280, 45.9940,  0.0010,-65.5580, 75.5340,  0.0010,100.0140,1.0,1.0,"[0.0, 0.0]",0,  0.8181,308.9614, 15.2453,nan
SAAT, 39.8610, 48.4230,  0.0000,143.1790,180.1770,  0.0000,230.1140,1.0,1.0,"[0.0, 0.0]",0,  1.9138, 40.5115, 35.5231,nan
SHB, 38.2830, 45.6190,  0.0020,-98.9550,  4.2680,  0.0020, 99.0470,1.0,1.0,"[0.0, 0.0]",0,  0.9458,262.2917, 17.7677,nan
TBZ, 38.2350, 46.1500,  0.0020,-52.5310, -1.4950,  0.0020, 52.5520,1.0,1.0,"[0.0, 0.0]",0,  0.5493,250.9829, 10.6216,nan
ZNJK, 36.6700, 48.6850,  0.0020,173.0100,-173.5920,  0.0020,245.0550,1.0,1.0,"[0.0, 0.0]",0,  2.2957,138.8764, 40.9227,nan
ZRD, 40.2790, 47.6840,  0.0000, 79.4570,225.6940,  0.0000,239.2440,1.0,1.0,"[0.0, 0.0]",0,  1.9817, 19.7590, 36.3001,nan
BRDA, 40.2630, 47.1790,  0.0000, 36.5040,223.5930,  0.0000,226.5300,1.0,1.0,"[0.0, 0.0]",0,  1.8680,  8.7250,nan, 60.0760
GANJ, 40.6460, 46.3220,  0.0010,-36.2180,266.1380,  0.0010,268.5520,1.0,1.0,"[0.0, 0.0]",0,  2.2602,350.5558,nan, 69.8961
GLBA, 39.2420, 48.3930,  0.0000,141.8500,111.3980,  0.0000,180.3520,1.0,1.0,"[0.0, 0.0]",0,  1.4880, 55.8156,nan, 49.0444
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",0,  0.2078,118.0402,nan,  7.8550
LKRN, 38.7100, 48.7790,  0.0000,176.4800, 53.0070,  0.0000,184.2560,1.0,1.0,"[0.0, 0.0]",0,  1.5732, 78.6247,nan, 51.5601
MRD, 38.7130, 45.7020,  0.0020,-91.1510, 51.9150,  0.0020,104.8980,1.0,1.0,"[0.0, 0.0]",0,  0.9178,289.2107,nan, 30.0881
NAX, 39.1740, 45.4950,  0.0010,-108.4560,103.3180,  0.0010,149.7910,1.0,1.0,"[0.0, 0.0]",0,  1.2765,306.8052,nan, 41.4114
SAAT, 39.8610, 48.4230,  0.0000,143.1790,180.1770,  0.0000,230.1140,1.0,1.0,"[0.0, 0.0]",0,  1.9138, 40.5115,nan, 62.1050
SBZ, 39.3970, 45.5530,  0.0010,-103.1190,128.0110,  0.0010,164.3790,1.0,1.0,"[0.0, 0.0]",0,  1.3866,315.3821,nan, 44.9111
SRB, 37.8250, 47.6630,  0.0020, 80.3820,-46.7790,  0.0020, 93.0030,1.0,1.0,"[0.0, 0.0]",0,  0.8962,130.9542,nan, 29.9847
TAHR, 38.4900, 47.0510,  0.0010, 26.2610, 26.6840,  0.0010, 37.4390,1.0,1.0,"[0.0, 0.0]",0,  0.2040, 68.6755,nan,  7.7325
TVRZ, 38.5040, 46.6680,  0.0020, -7.1530, 28.1980,  0.0020, 29.0910,1.0,1.0,"[0.0, 0.0]",0,  0.1414,308.4848,nan,  5.1161
VANB, 38.5950, 43.3890,  0.0010,-292.7930, 43.6350,  0.0010,295.9740,1.0,1.0,"[0.0, 0.0]",0,  2.6911,274.8744,nan, 80.0388
ZRD, 40.2790, 47.6840,  0.0000, 79.4570,225.6940,  0.0000,239.2440,1.0,1.0,"[0.0, 0.0]",0,  1.9817, 19.7590,nan, 63.3890
ASTR, 38.5600, 48.7910,  0.0000,177.8930, 36.3800,  0.0000,181.5620,1.0,1.0,"[0.0, 0.0]",1,  1.5903, 85.1920, 28.5182,nan
BRDA, 40.2630, 47.1790,  0.0000, 36.5040,223.5930,  0.0000,226.5300,1.0,1.0,"[0.0, 0.0]",1,  1.8451,  9.7494, 32.5677,nan
