# 2012 08 11 12 23 15.400000 38.416 46.809   4.2  6.5 0.0 0.0 0.0         1
HRS   4.110 1.00 Pg
TBZ  10.800 1.00 Pg
BST  13.260 1.00 Pg
ORD  15.300 1.00 Pg
MRD  16.800 1.00 Pg
GRMI 17.150 1.00 Pg
SHB  17.940 1.00 Pg
LRK  22.400 1.00 Pg
NAX  23.300 1.00 Pg
GLBA 28.400 1.00 Pg
BRDA 34.800 1.00 Pn
SAAT 34.000 1.00 Pn
ZRD  36.700 1.00 Pn
GANJ 39.300 1.00 Pn
ZNJK 39.800 1.00 Pn
# 2012 08 11 12 28 46.100000 38.444 46.771  21.7  3.5 0.0 0.0 0.0         2
HRS   5.890 1.00 Pg
TBZ  10.160 1.00 Pg
BST  14.060 1.00 Pg
MRD  16.170 1.00 Pg
SHB  17.540 1.00 Pg
# 2012 08 11 12 49 15.500000 38.393 46.688  13.3  4.6 0.0 0.0 0.0         3
HRS   5.730 1.00 Pg
HRS  10.410 1.00 Sg
TBZ   8.420 1.00 Pg
BST  13.560 1.00 Pg
MRD  15.190 1.00 Pg
SHB  15.980 1.00 Pg
SHB  28.480 1.00 Sg
SRB  17.740 1.00 Pg
LRK  24.500 1.00 Pg
GLBA 29.700 1.00 Pg
ASTR 30.900 1.00 Pg
BRDA 35.400 1.00 Pn
SAAT 35.100 1.00 Pn
GNI  40.500 1.00 Pn
# 2012 08 11 13 14 05.500000 38.388 46.673   4.1  4.4 0.0 0.0 0.0         4
HRS   5.730 1.00 Pg
TBZ   8.510 1.00 Pg
BST  13.570 1.00 Pg
MRD  15.150 1.00 Pg
SHB  15.880 1.00 Pg
SRB  17.660 1.00 Pg
GRMI 19.270 0.50 Pg
NAX  22.900 1.00 Pg
LRK  24.900 1.00 Pg
SBZ  24.500 1.00 Pg
GLBA 29.900 1.00 Pg
ASTR 30.900 1.00 Pg
MAKU 32.350 0.50 Pn
SAAT 35.200 1.00 Pn
ZRD  36.500 1.00 Pn
GANJ 39.200 1.00 Pn
GNI  41.900 0.50 Pn
ZNJK 40.990 0.50 Pn
